uf,cnpj,cns,nome_oficial,municipio,cep,homepage,data_instalacao,atribuicoes,area_abrangencia,comarca
CE,05.545.488/0001-56,02.049-5,"2º tabelionato de notas, protesto e registro de imóveis",Maranguape,61940005,"",1908-01-20,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos;registros públicos,município de maranguape,maranguape
CE,23.719.461/0001-14,01.937-2,ofício de registro civil das pessoas naturais - amanari,Maranguape,61979000,"",1954-10-13,casamentos;nascimentos;óbitos,distrito de amanari,maranguape
CE,01.617.066/0001-98,01.694-9,ofício do registro civil das pessoas naturais - itapebussu,Maranguape,61988000,"",1897-10-11,casamentos;interdições e tutelas;nascimentos;óbitos,distrito de itapebussu;lagoa do juvenal;manoel guedes;serra do lagedo,maranguape
CE,09.444.530/0001-01,01.848-1,ofício de registro civil das pessoas naturais - jubaia,Maranguape,61955000,"",1931-09-10,casamentos;nascimentos;óbitos,distrito de jubaia,maranguape
CE,12.359.790/0001-85,01.828-3,ofício de registro civil das pessoas naturais - sapupara,Maranguape,61950800,"",1934-12-18,casamentos;nascimentos;óbitos,distrito de sapupara,maranguape
CE,35.003.698/0001-83,14.642-3,ofício de registro civil das pessoas naturais - tanques,Maranguape,61979000,"",1918-04-27,casamentos;nascimentos;óbitos,distrito de tanques,maranguape
CE,06.595.649/0001-89,02.050-3,"1º tabelionato de notas, ofício de registro civil das pessoas naturais e anexos",Marco,62560000,"",1973-12-27,casamentos;distribuidor;distribuidor extrajudicial;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos;registros públicos,município de marco,marco
CE,06.595.862/0001-90,01.768-1,"2º tabelionato de notas, protesto e ofício de registros de imóveis",Marco,62560000,"",1973-12-29,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de marco,marco
CE,09.444.530/0001-01,01.855-6,ofício de registro civil das pessoas naturais - panacuí,Marco,62560000,"",1956-08-21,casamentos;nascimentos;óbitos,distrito de panacuí,marco
CE,23.706.823/0001-32,01.644-4,1º ofício de registro civil das pessoas naturais e tabelionato de protestos de títulos,Martinópole,62450000,"",1914-09-07,casamentos;interdições e tutelas;nascimentos;óbitos;protesto de títulos,município de martinopolis,granja
CE,69.726.982/0001-08,01.600-6,"tabelionato de notas, protestos e registros de imóveis",Martinópole,62450000,"",1993-08-05,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de martinópole,granja
CE,06.602.049/0001-09,01.757-4,"1º ofício de registro civil das pessoas naturais, tabelionato de notas e anexos",Massapê,62140000,"",1899-06-01,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos,município de massapê,massapê
CE,"",13.589-7,2º ofício de registro de imóveis e tabelionato de notas e protesto,Massapê,62140000,"",1926-09-20,notas;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,"",massapê
CE,00.518.611/0001-26,01.682-4,ofício de registro civil das pessoas naturais - dist. mumbaba,Massapê,62142000,"",1964-03-05,casamentos;nascimentos;óbitos,distrito de mumbaba,massapê
CE,05.406.689/0001-72,01.899-4,ofício de registro civil das pessoas naturais e tabelionato de notas - padre linhares,Massapê,62140000,"",1955-10-31,casamentos;nascimentos;notas;óbitos,distrito de padre linhares,massapê
